abandona,abandon - abbandono
slăbi,grow thin - perdere peso
slăvi,glorify - glorificare
slobozi,release - gratuito
slugări,serve or work as a servant - servi
sluji,officiate - servire
sminti,trouble - ingannare
smulge,wrest - strappare
socializa,socialize - socializzare
socoti,calculate - contare
sodomiza,sodomize - sodomizzato
solvi,dissolve - Solvit
soma,summon - sfida
sorbi,sip - sorso
sori,bask in the sun - Soria
sorti,destine - quantità
sparge,break - ROTTURA
spăla,wash - lavare
spânzura,hang - appendere
spera,hope - Speranza
speria,scare - spavento
speti,harass - molestare
spinteca,rip - Cleave
spori,advance - AUMENTO
spovedi,confess - confessare
spulbera,dispel - uccisione
spuma,foam - schiuma
spumega,foam - spume
spune,say - Dire
spurca,defile - DEFILE
spuzi,develop swelling - mucchio
sta,stay - rimanere
stabili,establish - STABILIRE
stăpâni,master - possesso
stărui,persevere - perseverare
stânjeni,hinder - ostacolare
stima,esteem - Pixy
stimula,stimulate - stimolare
stinge,turn off - estinzione
stingheri,disturb - ostacolare
stoarce,squeeze - spremere
străbate,pass through go through or over - attraverso
străluci,shine - splendore
strămuta,shift - mossa
strănuta,sneeze - starnuto
străpunge,puncture - Pierces
străvedea,see one's own image - Fu abbandonato
strâmba,bend - askew
strâmta,make narrow - stretto
strânge,tighten - stringere
strecura,strain - scontrino
strica,spoil - rotto
striga,call - gridare
stropi,water - Cospargere
studia,study - studio
subscrie,subscribe - sottoscrivi
subția,thin - rastremazione
suci,wring - intrecciare
suferi,suffer - soffrire
sufla,blow - soffio
sufleca,roll up - uscire fuori
sufoca,suffocate - soffocamento
suge,suck - succhiare
sughița,hiccup - singhiozzo
sugruma,choke - strangolare
sui,get in - scalata
sumete,roll up - ciclo continuo
suna,sound - suoni
supăra,upset - offendere
supraveghea,supervise - supervisionare
supraviețui,survive - sopravvivere
supune,subject to - SOGGETTO
surpa,undermine - distruggere
surprinde,surprise - sorpresa
suspina,sob - sospiro
susține,support - Alzarsi
susura,whisper - Purl
șantaja,blackmail - ricatto
șchiopa,become lame - Șchiopa
șchiopăta,limp - zoppicare
ședea,sit - sedersi
șerbi,work or serve as a serf or slave - Serbi
șopti,whisper - sussurro
șovăi,waver - Boggle
șterge,wipe - rimuovere
ști,know - Sapere
șuiera,hiss - fischio
șușui,rustle - sussurro
tatua,tattoo - tatuaggio
tăbăci,tan - taw
tăcea,keep quiet - cessare
tăgădui,deny - negare
tăia,cut - taglio
tărăgăna,drawl - Dally
tâmpi,stupefy - Aggiungi
tânji,crave - anni
târgui,go shopping - Târgui
teme,fear - Temi
tenta,tempt - tentare
termina,finish - fine
tinctura,dye - tintura
tinde,stretch - sforzarsi
tipări,type - trasportare
tivi,hemstitch - frusta
toarce,spin - rotazione
toca,chop - toque
toci,blunt - noioso
topi,melt - sciolto
tortura,torture - tortura
traduce,translate - tradurre
trage,pull - sparare
transcrie,transcribe - trascrizioni
transforma,transform - trasformare
transpira,sweat - sudore
traversa,cross - attraverso
trăda,betray - tradire
trăgăna,"tarry, dally - Păugăna"
trăi,live - vivere
trăncăni,prattle - Natter
trăsni,strike - fulminare
trânti,slam - sbattere
trece,pass - passaggio
treiera,thresh - trebbiare
tremura,tremble - scuotere
trepăda,trot - lodato
tresări,start - sbalzo
trezi,get up - svegliati
trimite,send - Inviare
tulbura,upset - Rovesciato
tuna,thunder - tuono
tunde,crop - ordinare
turba,rage - torba
turna,pour - versare
turti,flatten - appiattire
tuși,cough - Tosse
țăcăni,repeatedly - Şăcăni
țese,weave - tessere
țigăni,beg - contrattazione
ține,hold - MANTENERE
ținti,aim at - scopo
țipa,scream - urlo
ucide,murder - uccisione
uda,wet - Bagnato
uimi,amaze - abbaglia
uita,forget - dimenticare
umbla,walk around - camminare
umbri,shade - ombra
umfla,inflate - gonfiare
umili,humiliate - umile
umple,fill - riempire
unda,undulate - onda
undui,make waves - intrecciare
unge,smear - Grasso
uni,unite - unire
ura,wish - odio
urbaniza,urbanise - urbanizzare
urca,climb - salire
urdina,go often to someone or somewhere - Urdin
urina,urinate - urina
urî,hate - odio
urla,yell - Howl
urma,follow - seguire
urmări,watch - SEGUITO
urzi,hatch - escogitare
usca,dry - Asciutto
ușura,relieve - la facilità
utiliza,use - utilizzo
vaccina,vaccinate - vaccinare
valsa,waltz - valzer
vădi,show clearly - Evince
văduvi,become a widow or widower - vedova
văra,spend the summer - estate
vărsa,spill - versare
vătăma,harm - danno
vătui,pad - trapunta
vâna,hunt - caccia
vântura,winnow - fan
vedea,see - Vedere
veghea,watch - orologio
venera,revere - culto
veni,come - Venire
veșteji,wither - appassire
via,have life - attraverso
viermui,swarm - verme
viețui,live - vivere
vinde,sell - vendere
vindeca,heal - guarire
visa,dream - Visa
vizita,visit - visita
vlăgui,deplete - enervata
voame,vomit - Volere
voi,will - Vol
vopsi,paint - colore
vorbi,speak - PARLARE
vrăji,bewitch - sillabare
vrea,want - VUOLE
zăcea,lie - menzogna
zăpăci,bewilder - confuso
zăpuși,scorch - crisi
zări,observe - vista
zbate,struggle - lotta
zbârci,become wrinkled - grinza
zbârli,get ruffled - ondulazione
zbici,dry or air - Asciutto
zbiera,bray - gridare
zbura,fly - volare
zburda,frolic - Romp
zdrobi,split - schiacciare
zgăura,ogle - graffio
zgâi,goggle - fissare
zgâria,scratch - graffio
zice,say - DICE
zvânta,dry - Asciutto
